,index,protocol,measuredDate,createDate,updateDate,publishDate,organizationId,organizationName,siteId,siteName,countryName,countryCode,latitude,longitude,elevation,pid,mosquitohabitatmapperBreedingGroundEliminated,mosquitohabitatmapperExtraData,mosquitohabitatmapperAbdomenCloseupPhotoUrls,mosquitohabitatmapperMeasuredAt,mosquitohabitatmapperMeasurementElevation,mosquitohabitatmapperUserid,mosquitohabitatmapperLarvaeCount,mosquitohabitatmapperMosquitoEggs,mosquitohabitatmapperMosquitoEggCount,mosquitohabitatmapperGenus,mosquitohabitatmapperWaterSource,mosquitohabitatmapperMosquitoAdults,mosquitohabitatmapperSpecies,mosquitohabitatmapperComments,mosquitohabitatmapperMosquitoPupae,mosquitohabitatmapperWaterSourcePhotoUrls,mosquitohabitatmapperDataSource,mosquitohabitatmapperLarvaFullBodyPhotoUrls,mosquitohabitatmapperMeasurementLatitude,mosquitohabitatmapperLastIdentifyStage,mosquitohabitatmapperWaterSourceType,mosquitohabitatmapperMosquitoHabitatMapperId,mosquitohabitatmapperMeasurementLongitude
1442,3894,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351877,True,,,2018-07-30T09:07:00,0,6974074,7,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801762/original.jpg,GLOBE Observer App,,7.813,identify,container: artificial,3523,99.9437
1443,3895,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351877,True,,,2018-07-30T08:47:00,0,6974074,47,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801748/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3508,99.9438
1444,3896,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351877,True,,,2018-07-30T09:06:00,0,6974074,4,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801761/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3521,99.9437
1445,3897,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351877,True,,,2018-07-30T07:23:00,0,6974074,,,,,other,,,,False,,GLOBE Observer App,,7.8131,identify-later,container: artificial,4652,99.9438
1446,3898,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351972,True,,,2018-08-07T09:10:00,0,6974074,,False,,,other,True,,,True,https://data.globe.gov/system/photos/2018/08/07/807467/original.jpg,GLOBE Observer App,,7.8131,identify,container: natural,3624,99.9437
1447,3899,mosquito_habitat_mapper,2018-08-14,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159352094,True,,,2018-08-14T08:10:00,0,6974074,41,False,,,other,True,,,True,https://data.globe.gov/system/photos/2018/08/14/813392/original.jpg,GLOBE Observer App,,7.8131,identify,container: natural,3771,99.9438
1448,3900,mosquito_habitat_mapper,2018-08-14,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159352094,True,,,2018-08-14T10:13:00,0,6974074,30,False,,,other,False,,Found from plastic bag collected,False,,GLOBE Observer App,,7.8131,identify,container: artificial,3779,99.9436
1661,4627,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,False,,,2018-07-30T08:29:00,0,46490406,9,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801733/original.jpg,GLOBE Observer App,,7.8132,identify,container: natural,3504,99.9436
1662,4628,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,False,,,2018-07-30T08:33:00,0,46490406,5,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801739/original.jpg,GLOBE Observer App,,7.8132,identify,container: natural,3505,99.9436
1664,4630,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T08:56:00,0,46492607,9,False,,,other,True,,,True,https://data.globe.gov/system/photos/2018/07/30/801755/original.jpg,GLOBE Observer App,,7.8131,identify,still: lake/pond/swamp,3515,99.9438
